gene813	15	8	7
gene814	47	23	24
gene815	9	5	4
gene816	362	163	199
gene817	15	9	6
gene818	34	17	17
gene819	19	11	8
gene820	43	18	25
gene821	78	39	39
gene822	23	11	12
gene823	2	2	0
gene824	15	7	8
gene826	96	48	48
gene827	48	17	31
gene828	70	35	35
gene829	50	26	24
gene830	30	14	16
gene831	32	19	13
gene832	49	32	17
gene833	90	46	44
gene834	369	172	197
gene835	450	237	213
gene836	102	50	52
gene837	638	323	315
gene838	366	203	163
gene839	390	196	194
gene840	85	42	43
gene841	71	36	35
gene842	122	49	73
gene843	321	154	167
gene844	40	22	18
gene845	40	15	28
gene846	32	19	16
gene847	114	61	53
gene848	306	141	165
gene849	84	43	41
gene850	171	85	103
gene851	122	65	74
gene852	103	58	45
gene853	830	387	443
gene854	96	64	32
gene855	121	62	59
gene856	17	5	12
gene857	112	56	56
gene858	69	31	38
gene859	41	20	21
gene860	7	4	3
gene861	33	15	18
gene862	227	96	131
gene863	27	16	11
gene864	8	3	7
gene865	7	5	4
gene866	8	3	5
gene867	28	20	8
gene868	174	81	97
gene869	75	46	33
gene870	218	110	108
gene871	37	24	30
gene872	17	13	21
gene873	167	90	77
gene874	37	17	20
gene875	301	148	153
gene876	79	47	32
gene877	22	9	13
gene878	11	2	9
gene884	5	3	2
gene885	171	90	81
gene886	34	19	15
gene887	98	54	44
gene888	25	13	12
gene889	10	9	6
gene890	2	4	3
gene891	48	28	31
gene892	24	18	17
gene893	37	21	16
gene894	1	1	0
gene896	0	0	0
gene897	2	0	2
gene898	52	26	26
gene899	14	8	6
gene900	1	1	0
gene901	48	28	25
gene902	62	28	39
gene903	58	33	25
gene904	7	1	9
gene905	21	13	11
gene906	6	2	5
gene907	40	16	25
gene908	17	12	5
gene909	32	20	18
gene910	7	6	7
gene911	21	16	5
gene912	5	1	4
gene913	2	1	1
gene914	3	0	3
gene915	7	2	5
gene916	6	1	5
gene917	5	3	2
gene918	2	2	0
gene919	3	2	1
gene920	116	56	60
gene921	38	18	20
gene922	49	26	23
gene923	67	32	35
gene924	29	16	13
gene925	16	7	9
gene926	156	79	84
gene927	24	17	14
gene928	13	8	5
gene930	1	1	0
gene931	1	1	0
gene932	16	8	8
gene933	6	3	3
gene934	15	4	11
gene935	3	2	1
gene936	25	9	16
gene937	22	10	12
gene938	27	12	15
gene939	9	5	4
gene940	8	3	5
gene941	12	4	8
gene943	47	32	15
gene944	50	28	22
gene945	53	35	18
gene946	1	6	7
gene947	35	24	23
gene948	145	74	71
gene950	51	24	27
gene951	46	22	24
gene952	41	24	17
gene953	163	85	78
gene954	426	214	212
gene955	37	19	18
gene956	60	27	33
gene957	110	58	52
gene958	121	62	59
gene959	226	116	110
gene960	71	37	34
gene961	91	44	47
gene962	173	86	87
