Gene	WT-1	WT-2	rhpS-1	rhpS-2
rpmE	205	205	176	53
PSPPH_0387	51	58	42	25
maeB	301	402	138	84
PSPPH_0389	142	162	85	32
pilM	29	39	23	10
pilN	12	27	6	6
pilO	10	13	4	3
pilP	16	31	9	3
pilQ	108	201	53	22
aroK	16	46	12	8
aroB	254	319	85	37
PSPPH_0397	412	536	123	85
gltB	524	826	66	47
PSPPH_0399	0	1	0	0
gltD	155	215	25	10
PSPPH_0401	23	39	13	4
PSPPH_0402	9	34	14	4
PSPPH_0403	14	29	17	5
hemE	111	132	38	18
PSPPH_0405	37	56	9	0
PSPPH_0406	9	14	3	0
PSPPH_0407	6	7	1	0
PSPPH_0408	13	26	9	5
PSPPH_0409	59	71	39	21
PSPPH_0410	42	52	23	12
PSPPH_0411	11	30	2	2
PSPPH_0412	56	75	3	6
PSPPH_0413	24	35	1	4
PSPPH_0414	7	7	3	3
PSPPH_0415	33	36	7	5
PSPPH_0416	7	11	1	0
PSPPH_0417	12	25	2	2
PSPPH_0418	33	48	10	7
PSPPH_0419	52	72	15	6
PSPPH_0420	13	15	6	1
PSPPH_0421	10	22	2	0
PSPPH_0422	30	57	8	1
PSPPH_0423	5	12	5	2
PSPPH_0424	6	19	3	0
PSPPH_0425	27	47	8	2
PSPPH_0426	3	11	2	3
PSPPH_0427	3	1	0	1
PSPPH_0428	4	4	2	0
PSPPH_0429	18	14	12	5
PSPPH_0430	30	49	28	7
PSPPH_0431	32	81	36	7
PSPPH_0432	8	24	2	2
mdcA	362	469	43	31
citG	176	249	2	7
mdcC	20	34	1	2
mdcD	187	275	16	3
mdcE	135	149	5	5
PSPPH_0438	96	97	9	6
mdcH	67	88	5	5
madL	16	21	0	1
madM	17	17	0	2
PSPPH_0442	17	24	8	2
hlyIII	24	29	8	2
PSPPH_0444	39	66	9	6
bioA1	97	104	14	7
PSPPH_0446	75	133	48	9
PSPPH_0447	81	110	15	13
PSPPH_0448	235	330	33	18
PSPPH_0449	318	522	164	62
metF	73	112	84	36
ahcY	290	423	279	125
PSPPH_0452	22	36	11	8
PSPPH_0453	15	29	9	1
PSPPH_0454	3	8	3	1
fucA	3	10	0	0
PSPPH_0456	13	15	3	1
PSPPH_0457	4	16	5	1
PSPPH_0458	6	22	13	6
PSPPH_0459	69	94	25	10
ilvD	202	278	55	18
PSPPH_0461	12	17	4	6
PSPPH_0462	27	59	20	9
rdgB	26	39	8	8
metW	45	28	9	5
metX	100	98	29	15
PSPPH_0466	263	306	31	14
proC	302	413	45	27
PSPPH_0468	54	67	19	6
PSPPH_0469	194	216	56	6
PSPPH_0470	28	44	17	5
PSPPH_0471	61	68	27	13
PSPPH_0472	352	459	54	36
pyrB	255	351	69	39
pyrR	78	136	58	18
PSPPH_0475	31	40	30	14
PSPPH_0476	61	95	27	8
PSPPH_0477	31	42	19	9
gshB	117	141	31	16
pilG	55	46	35	14
pilH	47	57	22	11
pilI	33	54	13	9
pilJ	69	99	26	7
PSPPH_0483	188	269	83	39
PSPPH_0484	4	7	8	4
PSPPH_0485	50	87	17	12
PSPPH_0486	29	51	12	3
PSPPH_0487	25	32	7	2
PSPPH_0488	27	32	10	9
PSPPH_0490	27	37	5	7
PSPPH_0491	27	65	11	3
PSPPH_0492	257	360	58	26
PSPPH_0493	28	47	4	4
PSPPH_0494	21	50	9	2
PSPPH_0495	36	74	44	18
putA	1091	1667	473	210
putP	79	138	48	18
PSPPH_0498	128	158	113	37
PSPPH_0499	34	87	65	17
PSPPH_0500	13	32	12	2
PSPPH_0501	13	14	7	4
PSPPH_0502	31	48	19	8
PSPPH_0503	11	12	9	3
yccS	33	77	20	6
PSPPH_0505	33	63	28	5
dbpA	57	112	28	9
aceF	1104	1635	389	199
aceE1	2007	2988	639	264
glnE	203	270	70	43
rfaF	66	109	29	23
rfaC	56	67	16	13
rfaG	87	102	23	11
rfaP	54	82	16	4
PSPPH_0514	31	39	8	7
PSPPH_0515	48	44	9	3
PSPPH_0516	93	120	15	1
PSPPH_0517	37	59	12	7
PSPPH_0518	0	10	1	0
PSPPH_0519	302	425	84	44
PSPPH_0520	78	103	25	11
PSPPH_0521	31	40	13	8
PSPPH_0522	28	35	18	4
PSPPH_0523	32	49	26	12
PSPPH_0524	55	117	44	21
PSPPH_0525	66	99	25	7
PSPPH_0526	34	45	20	13
msbA	210	281	77	29
rfaE	243	332	88	50
PSPPH_0529	46	65	23	9
PSPPH_0530	87	92	21	7
PSPPH_0531	187	275	34	19
PSPPH_0532	7	18	7	4
kdtA	45	76	14	5
PSPPH_0534	181	264	103	39
thiC	738	1052	145	61
cytX	57	91	20	8
PSPPH_0537	8	13	2	1
PSPPH_0538	151	175	54	18
PSPPH_0539	109	173	33	10
PSPPH_0540	52	84	5	6
PSPPH_0541	7	10	4	0
PSPPH_0542	73	93	52	26
PSPPH_0543	37	58	25	12
parE	226	282	70	21
PSPPH_0545	48	55	25	5
PSPPH_0546	6	15	8	0
parC	264	393	101	44
PSPPH_0548	202	258	280	101
PSPPH_0549	87	148	39	25
PSPPH_0550	103	132	25	18
PSPPH_0551	79	124	39	11
PSPPH_0552	270	369	64	21
PSPPH_0553	115	190	54	24
PSPPH_0554	16	22	20	15
PSPPH_0555	8	19	11	8
rsgA	118	123	46	17
orn	54	71	40	10
PSPPH_0558	23	35	15	5
PSPPH_0559	17	29	9	1
PSPPH_0560	81	102	4	12
PSPPH_0561	66	79	24	10
PSPPH_0562	138	191	56	34
mutL	107	177	44	20
miaA	54	93	40	14
PSPPH_0565	310	344	91	34
PSPPH_0566	643	854	249	109
hflK	818	1289	326	105
hflC	333	497	80	31
PSPPH_0569	180	311	91	59
purA	423	646	152	70
PSPPH_0571	25	42	3	6
rnr	542	787	234	117
PSPPH_0575	92	148	34	15
rpsF	588	1029	319	134
rpsR	206	374	98	63
PSPPH_0578	514	810	184	98
rplI	311	485	116	50
dnaB	95	131	103	36
PSPPH_0581	123	181	122	44
PSPPH_0582	9	48	9	4
PSPPH_0583	96	160	27	9
PSPPH_0584	50	84	24	3
PSPPH_0585	14	25	5	2
azu	51	58	18	8
nadE	155	223	76	28
pncB	67	91	33	13
PSPPH_0589	17	34	8	3
PSPPH_0590	38	68	31	10
braD	17	31	4	3
braE	14	22	7	4
PSPPH_0593	14	32	4	1
PSPPH_0594	12	30	2	2
PSPPH_0595	19	59	5	3
PSPPH_0596	35	65	28	11
PSPPH_0597	217	274	65	36
PSPPH_0598	81	128	33	17
dxs	266	375	93	36
ispA	61	87	18	10
xseB	16	28	14	4
metC	66	85	27	12
PSPPH_0603	23	51	9	1
PSPPH_0604	177	296	79	19
PSPPH_0605	9	47	7	9
PSPPH_0606	2	0	0	0
PSPPH_0607	32	60	66	33
PSPPH_0608	17	51	43	31
PSPPH_0609	71	113	49	27
PSPPH_0610	10	41	13	10
PSPPH_0611	25	47	6	9
PSPPH_0612	42	136	8	2
PSPPH_0613	81	111	48	11
PSPPH_0614	1	7	3	1
PSPPH_0615	35	65	25	5
PSPPH_0616	1	3	3	0
PSPPH_0617	0	1	0	1
rpoD	2182	3279	869	412
dnaG	68	84	42	18
rpsU	167	217	198	63
gcp	29	42	33	9
PSPPH_0623	37	27	8	1
folB1	4	12	3	2
folK1	12	16	14	4
cca	96	129	19	5
PSPPH_0627	83	135	155	65
PSPPH_0628	95	153	152	91
PSPPH_0629	385	553	544	277
glpE	9	21	20	5
apaH	41	96	54	23
PSPPH_0632	43	49	39	10
ksgA	39	49	27	7
pdxA1	48	48	17	9
surA	243	357	143	70
PSPPH_0636	629	899	270	100
PSPPH_0637	68	110	33	12
PSPPH_0638	69	68	15	5
PSPPH_0639	29	49	6	3
PSPPH_0640	50	105	7	10
PSPPH_0641	49	65	14	5
PSPPH_0642	27	36	6	5
PSPPH_0643	3	17	4	2
PSPPH_0644	22	26	1	0
PSPPH_0645	4	29	1	1
PSPPH_0646	9	26	4	1
rpe	83	120	33	8
gph1	84	97	22	18
trpE	210	247	76	32
PSPPH_0650	57	93	7	5
PSPPH_0651	3	11	2	1
PSPPH_0652	3	6	2	1
PSPPH_0653	17	25	5	0
PSPPH_0654	1	4	0	0
PSPPH_0655	54	81	36	12
PSPPH_0656	4	5	3	1
PSPPH_0657	2	3	0	0
PSPPH_0658	0	10	5	0
PSPPH_0659	7	8	4	0
PSPPH_0660	9	14	4	1
PSPPH_0662	5	18	5	2
PSPPH_0663	10	14	1	2
PSPPH_0664	1	0	1	0
PSPPH_0665	6	14	5	5
PSPPH_0666	2	20	7	2
PSPPH_0667	62	104	50	25
PSPPH_0668	6	22	1	1
PSPPH_0669	5	21	6	4
PSPPH_0670	14	20	1	0
PSPPH_0671	13	22	4	4
trpG	66	113	41	21
trpD	158	248	54	28
trpC	303	359	79	45
PSPPH_0675	55	68	16	7
vfr	3	7	5	1
PSPPH_0677	37	48	14	7
speD	74	131	48	20
PSPPH_0679	123	171	54	24
PSPPH_0680	49	80	25	11
PSPPH_0681	52	57	20	7
PSPPH_0682	29	53	9	3
PSPPH_0683	25	50	6	8
argC	224	284	88	29
PSPPH_0685	30	50	9	0
PSPPH_0686	202	305	167	63
