Gene	WT-1	WT-2	rhpS-1	rhpS-2
PSPPH_2772	6	8	0	0
PSPPH_2773	7	16	5	1
PSPPH_2774	10	18	4	1
PSPPH_2775	10	19	4	2
bdh1	8	7	1	1
PSPPH_2777	2	5	2	1
PSPPH_2778	0	2	1	0
PSPPH_2779	47	75	40	14
PSPPH_2780	17	26	4	1
PSPPH_2781	2	10	2	0
PSPPH_2782	9	17	4	2
PSPPH_2783	16	30	4	2
PSPPH_2784	1	7	4	1
PSPPH_2785	4	9	5	1
PSPPH_2786	3	18	1	1
PSPPH_2787	0	1	0	1
PSPPH_2788	1	43	0	0
PSPPH_2789	1	52	1	0
PSPPH_2790	28	89	9	5
PSPPH_2791	16	134	3	6
PSPPH_2792	71	87	32	12
PSPPH_2793	23	57	38	17
PSPPH_2795	5	102	5	2
PSPPH_2796	4	12	3	0
PSPPH_2797	0	0	1	0
PSPPH_2798	0	1	0	0
PSPPH_2799	0	1	0	0
PSPPH_2800	1	6	11	5
PSPPH_2801	17	56	28	12
PSPPH_2802	3	4	1	0
arnC	1	9	0	0
arnA	8	20	2	1
PSPPH_2805	4	11	1	1
PSPPH_2806	2	11	1	2
PSPPH_2807	0	1	0	0
PSPPH_2808	3	3	1	0
PSPPH_2809	13	24	2	2
PSPPH_2810	14	36	11	3
PSPPH_2811	0	9	0	0
PSPPH_2812	5	19	4	0
PSPPH_2813	29	52	22	12
PSPPH_2814	0	3	2	1
PSPPH_2815	2	5	1	0
PSPPH_2817	6	10	13	0
PSPPH_2818	4	9	3	0
PSPPH_2819	4	68	4	3
PSPPH_2820	0	31	4	0
PSPPH_2822	0	5	0	0
PSPPH_2823	9	23	18	3
PSPPH_2824	208	352	75	34
PSPPH_2825	0	6	15	2
PSPPH_2826	23	30	28	15
PSPPH_2827	13	28	19	7
PSPPH_2828	17	28	4	2
PSPPH_2829	18	17	24	4
PSPPH_2831	7	16	3	1
PSPPH_2832	21	34	5	2
PSPPH_2833	3	10	0	1
PSPPH_2834	2	6	0	0
PSPPH_2835	1	7	1	1
PSPPH_2836	0	2	0	0
PSPPH_2837	7	9	1	2
PSPPH_2838	4	7	0	0
PSPPH_2839	8	9	0	0
PSPPH_2840	6	18	5	0
moaA	24	49	32	8
PSPPH_2842	29	35	18	7
PSPPH_2843	4	14	4	1
PSPPH_2844	4	3	0	0
PSPPH_2845	3	7	5	0
PSPPH_2846	0	8	2	0
PSPPH_2847	4	13	4	0
PSPPH_2848	4	5	0	1
PSPPH_2849	27	45	12	6
tolr	3	6	0	1
PSPPH_2851	2	9	4	1
PSPPH_2852	4	8	4	2
PSPPH_2853	0	5	0	0
PSPPH_2854	4	16	3	3
PSPPH_2855	7	19	14	4
PSPPH_2856	3	28	1	1
poxB	11	23	3	3
PSPPH_2858	23	32	7	1
PSPPH_2859	17	19	2	2
PSPPH_2860	61	75	13	7
PSPPH_2861	15	20	2	2
PSPPH_2862	17	25	20	5
PSPPH_2863	5	8	5	1
PSPPH_2864	0	1	0	0
PSPPH_2865	30	38	21	5
PSPPH_2866	9	24	7	4
PSPPH_2867	2	10	8	1
PSPPH_2868	24	26	9	6
mntH	21	49	18	9
PSPPH_2870	2	35	20	3
PSPPH_2871	0	10	2	2
PSPPH_2872	27	41	10	5
PSPPH_2873	5	14	1	2
PSPPH_2875	1	6	0	0
PSPPH_2876	1	11	0	0
PSPPH_2877	2	9	5	0
PSPPH_2878	16	31	1	1
PSPPH_2879	6	21	1	1
tas	218	349	45	23
PSPPH_2881	26	47	5	1
PSPPH_2882	28	43	20	4
PSPPH_2883	27	36	15	7
PSPPH_2884	7	18	9	2
PSPPH_2885	12	9	6	1
exbD2	1	9	0	1
exbB2	5	5	0	2
tonB3	1	5	2	3
PSPPH_2890	31	42	25	10
PSPPH_2891	17	26	20	11
PSPPH_2892	13	30	3	1
PSPPH_2893	20	40	11	7
PSPPH_2894	4	29	8	2
PSPPH_2895	0	14	4	1
PSPPH_2896	30	42	22	8
PSPPH_2897	61	109	28	13
PSPPH_2898	2	4	2	1
irp1	46	134	20	16
irp3	12	9	5	2
irp4	7	8	2	1
irp5	8	9	3	1
pchB	1	1	2	0
pchA	10	21	1	0
PSPPH_2905	13	26	8	1
PSPPH_2906	56	84	7	5
PSPPH_2907	100	125	11	3
PSPPH_2908	10	23	7	3
PSPPH_2909	4	14	3	1
PSPPH_2910	6	16	123	43
PSPPH_2911	27	49	32	27
amt1	5	18	8	1
PSPPH_2913	6	25	1	1
PSPPH_2914	4	4	0	0
PSPPH_2915	6	17	1	1
glnT	5	6	1	0
PSPPH_2917	16	26	9	6
PSPPH_2918	25	34	9	3
PSPPH_2919	3	13	1	2
PSPPH_2920	10	25	2	1
PSPPH_2921	15	24	7	5
PSPPH_2922	1	3	2	0
PSPPH_2924	1	18	3	0
PSPPH_2925	4	26	0	1
PSPPH_2926	1	19	2	0
quiA	37	79	8	3
phnP	12	25	4	4
phnN	9	36	14	0
phnM	35	48	30	17
phnL	32	25	16	7
phnK	11	22	12	4
phnJ	23	36	25	9
phnI	28	51	14	7
phnH	17	35	14	4
phnG	9	14	1	4
phnF	14	30	3	3
phnE	5	18	3	0
phnD	2	20	0	0
phnC	2	6	1	0
PSPPH_2941	17	20	5	0
PSPPH_2942	3	13	7	3
topB1	30	43	9	4
PSPPH_2944	18	21	9	5
PSPPH_2945	12	38	10	1
PSPPH_2946	10	33	12	6
PSPPH_2947	9	21	4	3
PSPPH_2948	23	42	13	10
PSPPH_2949	3	10	1	0
PSPPH_2950	0	19	3	0
PSPPH_2951	3	5	8	0
PSPPH_2952	11	16	4	3
PSPPH_2953	8	19	7	4
PSPPH_2954	1	5	1	1
PSPPH_2955	11	23	8	3
PSPPH_2956	17	24	9	3
PSPPH_2957	5	16	1	1
PSPPH_2958	9	27	4	2
PSPPH_2959	7	22	1	1
purU1	10	12	1	0
folD2	9	23	1	0
PSPPH_2962	29	26	3	1
PSPPH_2963	1	7	1	0
PSPPH_2964	43	80	7	3
PSPPH_2965	2	16	0	3
PSPPH_2966	25	31	4	2
PSPPH_2967	36	50	10	7
PSPPH_2968	4	17	7	1
PSPPH_2969	4	12	4	1
PSPPH_2970	23	36	19	8
PSPPH_2971	64	129	104	46
PSPPH_2972	1	3	0	0
PSPPH_2973	3	6	2	1
PSPPH_2974	12	13	4	0
PSPPH_2975	4	3	2	1
PSPPH_2976	3	14	0	0
PSPPH_2977	1	4	0	0
PSPPH_2978	1	10	2	0
PSPPH_2979	1	0	0	0
PSPPH_2980	3	14	1	0
PSPPH_2981	10	14	4	2
PSPPH_2982	0	5	1	1
PSPPH_2983	30	50	10	4
PSPPH_2984	14	20	15	10
PSPPH_2986	10	22	12	2
PSPPH_2987	1	4	1	0
tolR1	1	1	0	0
tolQ1	4	11	0	0
PSPPH_2990	2	12	1	5
PSPPH_2991	12	28	5	5
PSPPH_2992	2	6	0	1
PSPPH_2993	3	5	0	0
PSPPH_2994	8	11	4	1
PSPPH_2995	9	16	8	4
PSPPH_2996	1	8	0	1
PSPPH_2997	2	5	1	0
PSPPH_2998	15	35	0	2
PSPPH_2999	9	13	3	0
PSPPH_3000	6	17	4	0
PSPPH_3001	18	22	2	0
PSPPH_3002	52	67	2	0
PSPPH_3003	2	20	1	2
PSPPH_3004	28	26	10	1
PSPPH_3005	12	23	13	3
PSPPH_3006	25	33	14	7
PSPPH_3007	13	22	3	0
PSPPH_3008	7	10	1	2
PSPPH_3009	125	148	49	13
PSPPH_3010	5	6	1	1
nirD	0	7	2	1
PSPPH_3013	15	42	6	3
PSPPH_3014	40	63	29	8
pstB1	7	14	12	3
pstA	4	20	5	3
pstC	8	20	11	4
pstS	14	28	37	33
PSPPH_3019	8	23	12	0
PSPPH_3020	18	35	16	4
PSPPH_3021	9	12	7	0
PSPPH_3022	12	7	1	2
PSPPH_3023	46	71	35	21
PSPPH_3024	75	86	41	18
PSPPH_3025	6	18	2	3
garK	15	11	3	3
PSPPH_3027	6	10	4	1
avrB4-1	8	31	5	6
PSPPH_3030	5	6	2	0
PSPPH_3031	6	23	8	3
PSPPH_3032	12	32	4	1
PSPPH_3034	6	14	8	1
PSPPH_3035	27	42	17	1
hopAH2	27	35	11	8
PSPPH_3037	9	33	2	2
pncA	19	34	13	5
PSPPH_3039	31	91	23	9
PSPPH_3040	49	50	36	15
PSPPH_3041	12	21	9	4
PSPPH_3042	552	828	680	310
PSPPH_3043	228	333	227	86
PSPPH_3044	57	78	39	17
PSPPH_3045	69	98	41	12
PSPPH_3046	17	19	4	2
PSPPH_3047	9	18	9	0
PSPPH_3048	7	8	4	0
PSPPH_3049	11	13	6	0
PSPPH_3050	41	62	32	11
PSPPH_3052	18	25	3	3
PSPPH_3053	8	24	1	0
gspD1	76	108	17	5
PSPPH_3055	5	7	4	0
PSPPH_3056	7	8	2	1
PSPPH_3057	18	28	6	2
gspK1	8	10	2	1
gspJ	7	7	2	3
PSPPH_3060	10	10	3	1
gspH1	18	18	4	3
gspG1	32	44	14	8
gspF1	33	58	12	16
gspE1	69	100	24	23
PSPPH_3066	35	42	26	9
PSPPH_3067	17	20	2	2
PSPPH_3068	11	22	6	0
PSPPH_3070	205	290	11	11
PSPPH_3071	20	39	15	6
tliF	14	19	11	2
tliE	4	27	4	1
PSPPH_3075	13	17	12	8
PSPPH_3077	119	166	72	31
PSPPH_3079	22	29	21	3
PSPPH_3080	27	33	4	1
PSPPH_3081	5	27	1	1
PSPPH_3082	11	11	7	2
PSPPH_3083	10	20	3	2
PSPPH_3084	1	6	1	0
PSPPH_3085	2	12	6	1
PSPPH_3086	30	58	25	9
cysG	178	272	64	30
serS	280	393	76	40
PSPPH_3090	7	18	8	3
PSPPH_3091	63	85	38	28
lolA	63	90	47	17
PSPPH_3093	187	254	80	37
aat	18	29	20	6
PSPPH_3095	18	17	22	9
infA	115	115	70	20
clpA	954	1447	593	279
PSPPH_3098	85	117	55	18
cspD	8	12	24	10
PSPPH_3100	1121	1610	352	153
PSPPH_3101	24	34	18	11
trmU	69	94	54	17
PSPPH_3103	34	47	11	2
purB	280	400	160	58
PSPPH_3105	108	137	56	16
PSPPH_3106	25	22	15	5
PSPPH_3107	18	42	21	5
aceA	90	156	30	7
nuoA	83	129	76	22
nuoB	435	621	280	123
nuoCD	822	1211	311	151
nuoE	147	231	55	16
nuoF	511	730	190	121
nuoG	1238	1777	494	221
nuoH	195	268	91	46
nuoI	102	164	64	24
nuoJ	81	113	63	19
nouK	28	32	8	12
nuoL	366	525	148	75
nuoM	319	414	185	70
nuoN	291	397	142	64
PSPPH_3122	7	32	4	0
PSPPH_3123	4	17	1	1
PSPPH_3124	15	26	14	7
PSPPH_3125	2	21	6	5
PSPPH_3126	11	18	8	1
PSPPH_3127	18	23	9	3
PSPPH_3128	2	2	7	0
PSPPH_3129	3	10	2	3
PSPPH_3130	24	37	19	10
PSPPH_3136	41	78	27	13
PSPPH_3137	21	33	28	11
PSPPH_3138	199	312	81	41
PSPPH_3139	7	27	10	3
PSPPH_3140	5	20	8	2
PSPPH_3141	3	10	8	1
PSPPH_3142	7	10	0	0
PSPPH_3143	2	7	0	0
PSPPH_3144	11	29	5	5
rfaH	0	9	0	0
PSPPH_3146	0	8	0	0
PSPPH_3147	0	15	3	0
PSPPH_3148	1	15	1	0
PSPPH_3149	4	12	0	1
PSPPH_3150	1	10	2	1
PSPPH_3151	3	24	3	3
PSPPH_3153	113	166	40	7
PSPPH_3154	0	2	1	1
PSPPH_3155	2	11	1	0
dxnG	27	29	74	20
dxnH	12	27	22	6
PSPPH_3158	51	53	29	6
PSPPH_3159	34	34	9	9
PSPPH_3160	198	201	100	48
PSPPH_3161	91	153	10	6
glpQ	58	112	20	15
PSPPH_3163	17	26	4	0
PSPPH_3165	19	44	9	5
PSPPH_3166	13	15	3	4
PSPPH_3167	1	14	4	2
PSPPH_3168	5	14	10	4
PSPPH_3169	39	60	13	10
PSPPH_3170	14	35	14	6
PSPPH_3171	26	40	13	4
PSPPH_3172	89	129	23	11
PSPPH_3173	14	14	6	3
PSPPH_3175	9	19	6	6
PSPPH_3176	0	6	2	0
PSPPH_3177	13	26	12	5
PSPPH_3178	48	71	32	19
PSPPH_3179	3	10	5	4
PSPPH_3180	5	21	3	1
PSPPH_3181	30	47	21	9
PSPPH_3182	73	102	63	33
PSPPH_3183	3	16	3	3
PSPPH_3184	7	24	4	3
PSPPH_3185	4	16	5	2
PSPPH_3186	42	55	7	7
PSPPH_3187	19	30	5	6
iolG	6	12	3	0
PSPPH_3189	3	26	1	0
PSPPH_3190	3	13	2	0
mmsA1	17	28	6	1
PSPPH_3192	5	11	2	0
PSPPH_3195	36	42	23	9
PSPPH_3196	18	21	11	5
PSPPH_3197	16	37	9	1
PSPPH_3198	15	19	9	4
PSPPH_3199	36	44	18	20
mtaP	84	100	18	4
nagZ	108	170	31	10
psrA	172	291	88	31
lexA2	35	41	10	3
PSPPH_3204	31	28	4	4
PSPPH_3205	9	25	13	10
PSPPH_3206	64	86	57	21
topA	346	572	168	93
PSPPH_3208	23	36	19	10
fadA	510	822	66	33
fadB	1334	1833	154	85
PSPPH_3211	10	4	5	2
PSPPH_3212	14	11	3	3
PSPPH_3213	57	67	36	14
PSPPH_3214	149	231	69	36
PSPPH_3215	161	214	49	31
PSPPH_3216	57	65	20	6
PSPPH_3217	4	15	7	0
PSPPH_3218	0	4	1	0
PSPPH_3219	12	35	18	7
PSPPH_3220	29	39	20	8
PSPPH_3221	34	50	18	4
PSPPH_3222	6	23	21	3
PSPPH_3223	16	42	27	10
PSPPH_3224	12	25	18	6
PSPPH_3225	25	43	28	14
PSPPH_3226	20	22	12	4
PSPPH_3227	7	34	21	5
PSPPH_3228	10	18	13	7
PSPPH_3229	17	16	11	1
PSPPH_3230	17	20	13	10
PSPPH_3231	8	25	9	3
PSPPH_3232	8	18	5	3
PSPPH_3233	6	14	4	1
PSPPH_3234	1	6	2	3
mae1	9	21	8	0
PSPPH_3236	5	9	1	2
PSPPH_3237	6	10	3	5
PSPPH_3238	227	292	59	21
PSPPH_3239	56	102	23	6
PSPPH_3240	6	5	3	2
PSPPH_3241	52	80	75	32
PSPPH_3242	20	25	5	1
PSPPH_3243	86	102	22	9
PSPPH_3244	24	43	17	4
fahA	140	196	32	13
hmgA	92	116	28	11
iclR	21	38	31	6
PSPPH_3248	19	33	14	9
PSPPH_3249	41	87	19	8
hppD	481	662	75	32
maiA	42	67	16	3
glcD	7	21	5	6
glcE	5	13	1	0
glcF	9	21	3	4
PSPPH_3255	17	29	9	1
PSPPH_3256	27	28	7	3
gntR	68	95	12	5
PSPPH_3258	83	134	12	4
PSPPH_3259	170	201	6	5
csrA1	22	29	34	15
PSPPH_3261	8	23	13	1
PSPPH_3262	54	95	56	21
PSPPH_3263	37	64	33	15
PSPPH_3264	25	35	12	4
PSPPH_3265	4	21	3	3
PSPPH_3266	33	53	11	1
PSPPH_3267	8	22	6	5
PSPPH_3268	22	37	7	5
PSPPH_3269	7	26	6	1
PSPPH_3270	5	13	1	0
PSPPH_3271	43	69	22	14
PSPPH_3272	30	63	20	7
PSPPH_3273	16	35	18	4
katB	45	65	34	6
PSPPH_3275	5	13	2	3
PSPPH_3276	47	72	26	12
PSPPH_3277	10	5	5	0
PSPPH_3278	4	10	1	5
PSPPH_3279	35	36	6	8
PSPPH_3280	31	52	8	3
PSPPH_3282	24	30	9	3
PSPPH_3283	51	60	16	2
PSPPH_3284	23	43	8	5
ada	20	20	5	4
PSPPH_3286	5	19	5	1
PSPPH_3287	7	10	1	0
PSPPH_3288	9	13	0	0
PSPPH_3289	21	44	0	1
PSPPH_3290	29	39	2	0
PSPPH_3291	6	13	17	4
PSPPH_3292	13	23	22	12
PSPPH_3293	39	47	88	46
PSPPH_3294	2	13	5	3
PSPPH_3295	9	17	4	1
PSPPH_3296	10	10	3	2
PSPPH_3297	4	4	0	0
PSPPH_3298	28	53	23	10
PSPPH_3299	1	3	0	0
PSPPH_3300	26	56	12	4
PSPPH_3301	56	93	8	11
rimJ	16	21	5	1
PSPPH_3303	13	25	11	3
PSPPH_3304	36	77	20	8
PSPPH_3305	28	26	3	5
cycH	19	23	3	0
cycL	5	3	3	0
dsbE	7	5	2	2
ccmF	23	26	5	0
ccmE	10	13	5	0
ccmD	1	0	0	0
ccmC	14	13	3	1
ccmB	8	8	5	2
ccmA	8	21	6	3
PSPPH_3315	20	31	12	4
PSPPH_3316	14	9	3	1
PSPPH_3317	21	33	18	13
recR	70	74	23	11
PSPPH_3320	5	8	2	0
PSPPH_3321	0	5	0	0
PSPPH_3322	11	25	3	6
PSPPH_3323	11	13	5	3
PSPPH_3324	55	95	18	14
PSPPH_3325	18	32	12	1
acnA	340	459	56	22
PSPPH_3327	0	7	10	5
aer2	5	14	2	0
PSPPH_3329	1	1	0	0
PSPPH_3330	0	2	0	1
PSPPH_3331	3	26	0	0
PSPPH_3332	12	49	4	1
PSPPH_3333	3	66	4	1
PSPPH_3334	12	40	6	0
PSPPH_3335	3	14	0	0
PSPPH_3336	31	34	16	8
ccoN	19	37	18	6
ccoO	9	20	0	0
ccoQ	0	2	2	0
ccoP	34	42	3	4
PSPPH_3341	5	47	1	1
PSPPH_3342	9	20	3	0
PSPPH_3343	12	29	12	7
PSPPH_3344	29	42	22	4
PSPPH_3345	11	6	2	3
PSPPH_3346	21	37	4	3
ccoS	0	2	0	0
PSPPH_3348	11	11	3	0
hemN	172	300	258	94
PSPPH_3350	20	22	3	2
anr	111	122	45	18
apt	47	72	37	22
PSPPH_3353	13	29	10	7
cheW2	23	24	6	5
PSPPH_3355	10	15	3	2
PSPPH_3356	14	16	3	3
motB	12	19	4	3
motA	5	15	2	1
cheB3	24	46	8	4
cheA2	132	207	26	17
cheZ	85	101	25	7
cheY2	41	74	17	5
fliA	62	86	33	15
fleN	22	51	7	11
flhF	23	40	10	8
flhA	3	32	8	2
flhB	6	13	5	2
fliR	2	11	1	0
fliQ	2	5	0	0
fliP	2	6	0	2
fliO	1	4	0	3
fliN	5	4	3	1
fliM	2	15	2	0
fliL	0	5	2	0
fliK	40	49	17	12
PSPPH_3376	30	48	15	8
PSPPH_3377	38	56	34	8
PSPPH_3378	4	14	8	4
fliJ	0	6	1	2
fliI	6	34	2	3
fliH	9	19	4	1
fliG	9	16	5	2
fliF	22	33	18	9
fliE	1	6	1	4
fleR	5	18	9	1
fleS	5	8	5	0
fleQ	199	354	419	165
fliT	7	20	15	4
fliS	28	38	40	25
fliD	402	624	163	65
flaG	5	26	4	1
fliC	18	37	12	9
PSPPH_3393	93	113	115	40
PSPPH_3394	165	234	45	20
PSPPH_3395	24	64	17	5
flgL	21	36	7	5
flgK	30	57	15	4
flgJ	8	13	3	3
flgI	4	15	1	1
flgH	6	8	2	0
flgG	7	20	5	0
flgF	2	12	1	0
PSPPH_3403	2	3	4	4
PSPPH_3404	9	33	9	3
flgE	17	29	8	6
flgD	12	16	6	1
flgC	2	7	2	1
flgB	3	9	0	2
PSPPH_3409	29	35	27	7
cynS	23	42	19	2
PSPPH_3411	6	16	2	1
cheR3	52	78	72	22
PSPPH_3413	96	160	43	26
PSPPH_3414	6	10	6	3
PSPPH_3415	52	83	23	6
PSPPH_3416	50	78	15	18
PSPPH_3417	69	127	51	21
PSPPH_3418	54	80	29	10
PSPPH_3419	57	69	12	3
PSPPH_3420	3	14	6	5
PSPPH_3421	3	10	5	0
PSPPH_3422	15	39	6	3
PSPPH_3423	14	31	8	1
PSPPH_3424	6	10	3	0
PSPPH_3425	11	13	2	1
PSPPH_3426	0	3	0	0
PSPPH_3427	7	13	6	1
PSPPH_3428	19	32	31	10
PSPPH_3429	70	112	28	9
PSPPH_3430	195	319	26	16
pobR	26	42	3	4
pobA	36	66	14	4
PSPPH_3433	7	4	0	0
PSPPH_3434	2	2	0	0
pdxA2	6	10	5	2
PSPPH_3436	3	8	2	0
PSPPH_3437	14	14	2	0
PSPPH_3438	9	4	2	1
srl	23	35	7	2
PSPPH_3441	0	2	0	0
PSPPH_3443	1	20	0	0
PSPPH_3444	1	19	1	0
PSPPH_3445	10	28	5	2
bphP	140	193	56	21
bphO	16	41	24	5
PSPPH_3448	24	50	9	2
PSPPH_3449	6	3	2	0
PSPPH_3450	2	13	0	3
PSPPH_3451	0	5	1	0
PSPPH_3452	1	3	0	1
PSPPH_3453	7	12	3	4
PSPPH_3454	14	23	5	5
PSPPH_3455	45	59	15	8
pcd	111	139	23	11
PSPPH_3458	15	29	4	2
PSPPH_3459	3	14	1	0
PSPPH_3460	11	17	5	1
sdaA	1019	1304	136	98
PSPPH_3462	89	149	28	15
PSPPH_3464	11	45	7	1
PSPPH_3465	27	40	11	2
PSPPH_3466	24	50	9	5
PSPPH_3467	9	20	2	2
PSPPH_3468	67	96	13	5
fdh	27	49	6	5
hyuE	69	85	25	5
PSPPH_3471	18	36	6	2
PSPPH_3472	10	25	4	0
PSPPH_3473	13	42	22	6
PSPPH_3474	3	1	2	1
PSPPH_3475	12	19	11	3
PSPPH_3476	40	45	15	7
PSPPH_3477	6	8	3	1
PSPPH_3478	45	53	8	5
PSPPH_3479	20	35	1	0
PSPPH_3480	0	1	0	0
PSPPH_3481	11	6	3	2
PSPPH_3482	5	16	4	1
PSPPH_3483	9	21	2	3
PSPPH_3484	5	16	0	0
PSPPH_3485	7	18	8	4
PSPPH_3486	30	38	6	5
PSPPH_3487	9	13	6	3
PSPPH_3488	8	15	7	3
PSPPH_3489	137	175	65	28
PSPPH_3490	9	21	8	6
PSPPH_3491	7	16	6	1
PSPPH_3492	0	2	0	0
PSPPH_3493	0	1	1	0
PSPPH_3495	25	38	18	5
PSPPH_3497	1	14	0	0
hopF3	2	34	1	6
PSPPH_3499	2	17	1	0
PSPPH_3500	0	6	1	0
PSPPH_3502	2	3	1	0
PSPPH_3503	0	10	5	1
PSPPH_3504	118	132	87	45
mgtE	39	72	19	2
PSPPH_3506	6	5	2	1
csrA2	35	51	10	2
PSPPH_3511	530	712	239	104
alaS	884	1356	222	106
PSPPH_3513	320	381	72	38
ribH	188	258	44	24
astE	88	174	64	17
PSPPH_3516	64	78	21	12
astB	167	277	61	28
astD	239	338	48	18
aruG	183	231	56	20
aruF	142	151	42	20
argD2	523	774	149	60
argR	44	76	33	12
hisP	69	113	25	24
PSPPH_3524	88	108	29	12
PSPPH_3525	21	39	5	4
PSPPH_3526	48	67	11	9
PSPPH_3527	269	351	85	32
acsA	180	206	30	11
PSPPH_3529	34	69	101	46
phhR	112	163	47	20
phhA	8	15	4	4
phhB	23	20	4	3
PSPPH_3533	4	5	1	4
PSPPH_3534	59	67	14	3
PSPPH_3535	13	17	11	3
PSPPH_3536	34	52	19	8
PSPPH_3537	1	2	1	0
rluB	122	154	98	38
PSPPH_3539	8	1	6	1
scpB	38	47	13	6
scpA	37	48	26	11
PSPPH_3542	53	61	24	10
PSPPH_3543	43	78	26	10
ispZ	29	50	17	6
PSPPH_3545	28	50	4	1
PSPPH_3546	14	14	6	4
PSPPH_3547	60	69	17	7
PSPPH_3548	12	23	3	8
PSPPH_3549	1	1	0	0
PSPPH_3550	36	62	20	10
PSPPH_3551	31	49	8	3
trkH	18	38	18	2
PSPPH_3553	50	82	4	2
PSPPH_3554	116	139	11	6
marR	40	54	5	2
miaE	18	24	13	5
PSPPH_3557	2	9	4	3
acnB	2126	3307	520	216
PSPPH_3559	4	8	5	2
PSPPH_3560	1178	1716	292	127
PSPPH_3561	11	17	11	2
PSPPH_3562	15	35	13	1
moxR	47	63	41	12
PSPPH_3564	21	34	6	10
PSPPH_3565	7	7	3	0
vWA	6	11	2	2
PSPPH_3567	7	22	6	2
PSPPH_3568	15	23	4	5
sbcD	17	46	13	2
sbcC	62	97	20	11
PSPPH_3571	3	7	0	1
PSPPH_3572	57	95	19	8
PSPPH_3573	20	31	6	1
PSPPH_3574	47	59	5	2
PSPPH_3575	6	28	9	3
PSPPH_3576	53	92	5	2
PSPPH_3577	48	69	16	6
PSPPH_3578	0	22	1	0
PSPPH_3579	0	0	0	0
PSPPH_3580	10	24	10	2
PSPPH_3581	0	6	1	2
PSPPH_3582	0	3	0	0
PSPPH_3583	0	6	0	1
PSPPH_3584	0	8	0	0
PSPPH_3585	14	33	3	0
PSPPH_3586	12	27	11	8
PSPPH_3587	17	32	5	3
PSPPH_3588	50	60	13	6
PSPPH_3589	62	103	20	13
PSPPH_3590	19	41	12	6
PSPPH_3591	62	80	39	11
PSPPH_3592	37	72	16	11
PSPPH_3593	112	164	37	13
PSPPH_3594	77	109	22	5
pepN	437	680	134	59
PSPPH_3596	93	142	52	29
PSPPH_3597	30	26	6	2
PSPPH_3598	37	44	23	7
PSPPH_3599	37	47	35	17
ppnK	86	126	48	18
PSPPH_3601	2	9	3	0
PSPPH_3602	19	28	2	11
arsB	22	34	9	1
PSPPH_3605	9	20	5	2
PSPPH_3606	14	38	14	1
PSPPH_3607	2	8	5	1
PSPPH_3608	3	9	2	1
PSPPH_3609	3	8	1	1
PSPPH_3610	8	19	2	2
PSPPH_3611	34	72	18	9
PSPPH_3612	2	4	1	0
PSPPH_3613	4	23	5	1
PSPPH_3614	1	11	2	1
PSPPH_3615	8	11	0	1
PSPPH_3616	39	53	19	8
PSPPH_3617	16	16	4	1
PSPPH_3618	26	49	13	8
PSPPH_3619	9	15	6	0
PSPPH_3620	8	11	6	2
PSPPH_3625	65	108	69	21
PSPPH_3626	86	102	21	9
PSPPH_3627	107	115	26	15
PSPPH_3628	41	63	28	19
PSPPH_3629	34	44	33	13
msrB	43	62	22	8
PSPPH_3631	272	380	111	47
htpX	487	750	172	97
PSPPH_3633	109	116	28	12
PSPPH_3634	203	339	203	95
PSPPH_3635	21	21	15	9
PSPPH_3636	42	58	26	7
PSPPH_3637	3	5	7	1
PSPPH_3639	3	2	2	1
PSPPH_3640	0	2	0	0
PSPPH_3641	4	11	2	1
PSPPH_3642	9	23	5	2
PSPPH_3643	32	42	18	7
PSPPH_3644	21	34	8	9
PSPPH_3645	14	13	6	3
ohr	20	32	2	2
PSPPH_3647	42	54	23	6
efp	367	528	146	75
PSPPH_3649	20	42	5	6
PSPPH_3650	11	14	4	4
PSPPH_3651	13	16	5	5
PSPPH_3652	32	44	20	8
PSPPH_3653	122	147	73	36
PSPPH_3654	44	80	9	3
PSPPH_3655	4	20	4	4
PSPPH_3656	91	147	58	22
PSPPH_3657	52	72	31	12
PSPPH_3658	47	67	33	15
PSPPH_3659	30	34	11	3
PSPPH_3660	15	21	5	3
ihfB	71	77	30	8
rpsA	2664	4303	1126	569
cmk	435	646	169	84
PSPPH_3664	126	189	61	21
pheA	271	370	124	56
serC	307	459	203	121
gyrA	1039	1508	316	166
PSPPH_3668	139	163	54	17
PSPPH_3669	80	98	32	29
ubiG	113	130	20	18
gph2	75	107	29	6
PSPPH_3672	77	76	23	13
PSPPH_3673	41	48	25	15
PSPPH_3674	72	102	74	29
PSPPH_3675	42	81	71	22
PSPPH_3676	62	86	40	23
PSPPH_3677	27	42	19	4
PSPPH_3678	138	212	141	51
bolA	161	226	51	24
PSPPH_3680	519	686	181	73
fumC1	44	67	16	7
PSPPH_3682	17	27	6	4
PSPPH_3683	47	67	38	19
PSPPH_3684	12	25	36	7
PSPPH_3685	8	23	19	14
PSPPH_3686	17	44	22	5
PSPPH_3687	4	16	7	1
PSPPH_3688	33	45	20	8
PSPPH_3689	341	515	87	37
PSPPH_3690	14	13	12	2
PSPPH_3691	1	0	1	0
PSPPH_3692	19	35	14	2
cobS	15	16	1	0
PSPPH_3694	9	21	2	0
cobT	26	56	8	5
cobP	7	21	0	1
cobQ	30	30	8	3
PSPPH_3698	25	25	3	3
cobD	17	18	3	4
PSPPH_3700	12	14	2	1
PSPPH_3701	41	70	15	6
cobO	30	71	16	3
PSPPH_3703	15	50	3	3
